Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms),Output Token Throughput (infer/sec)
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_120,45:GPU,1,Yes,4.4,916.8,5675.7
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_120,45:GPU,1,Yes,8.0,1985.2,10369.9
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_120,45:GPU,1,Yes,2.2,890.6,2891.9
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_120,45:GPU,1,Yes,8.0,3960.9,10371.6
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_120,45:GPU,1,Yes,1.1,988.6,1456.7
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_120,45:GPU,1,Yes,8.0,8872.5,10365.6
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_135,50:GPU,1,Yes,8.0,1008.1,10253.7
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_135,50:GPU,1,Yes,4.4,917.6,5677.4
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_135,50:GPU,1,Yes,8.0,1991.4,10347.4
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_135,50:GPU,1,Yes,2.2,890.7,2890.6
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_135,50:GPU,1,Yes,8.0,3958.0,10362.9
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_135,50:GPU,1,Yes,1.1,991.7,1454.5
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_135,50:GPU,1,Yes,8.0,8889.8,10352.4
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_65,24:GPU,1,Yes,8.0,1008.2,10252.2
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_65,24:GPU,1,Yes,4.3,920.3,5662.1
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_65,24:GPU,1,Yes,8.0,1990.6,10324.2
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_65,24:GPU,1,Yes,2.2,892.3,2885.8
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_65,24:GPU,1,Yes,8.0,3960.7,10356.5
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_65,24:GPU,1,Yes,1.1,989.0,1453.5
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_65,24:GPU,1,Yes,8.0,7915.4,10359.0
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_28,10:GPU,1,Yes,8.0,1008.2,10264.5
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_28,10:GPU,1,Yes,4.3,918.3,5668.6
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_28,10:GPU,1,Yes,8.0,2945.8,10311.7
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_28,10:GPU,1,Yes,2.2,893.0,2886.7
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_28,10:GPU,1,Yes,8.0,3982.8,10328.5
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_28,10:GPU,1,Yes,1.1,992.5,1455.0
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_28,10:GPU,1,Yes,8.0,7959.5,10325.4
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_94,34:GPU,1,Yes,8.0,1008.5,10282.2
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_94,34:GPU,1,Yes,4.4,917.0,5679.9
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_94,34:GPU,1,Yes,8.0,1984.8,10374.1
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_94,34:GPU,1,Yes,2.2,890.3,2893.9
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_94,34:GPU,1,Yes,8.0,3960.8,10373.7
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_94,34:GPU,1,Yes,1.1,989.5,1457.5
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_94,34:GPU,1,Yes,8.0,8857.1,10387.1
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_78,28:GPU,1,Yes,8.0,1008.5,10268.1
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_78,28:GPU,1,Yes,4.4,915.2,5569.5
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_78,28:GPU,1,Yes,8.0,1985.1,10362.6
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_78,28:GPU,1,Yes,2.2,890.4,2891.5
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_78,28:GPU,1,Yes,8.0,4926.7,10366.7
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_78,28:GPU,1,Yes,1.1,990.2,1456.0
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_78,28:GPU,1,Yes,8.0,8880.8,10365.6
